Feb1712:08:44,wlan0,,108.160.160.164,192.168.1.107,TCP,80,NA,United States,San Francisco,-122.417,37.77940000000001
Feb1814:02:28,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:02:40,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:02:41,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:02:41,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:02:58,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:02:59,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:03:00,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:03:00,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:03:02,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:03:03,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:03:07,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:03:10,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:03:30,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:03:54,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:04:12,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:04:29,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:05:01,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:05:14,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:05:28,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:05:51,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:06:09,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:06:28,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:06:49,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:07:18,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:07:56,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:07:57,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:08:11,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:08:28,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
